,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
25978,7391,EPX,Travel Agency,Online,Cancellation Plan,0,3,THAILAND,15.0,0.0,,36
10778,9300,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,26,AUSTRALIA,59.4,35.64,,31
6408,15436,EPX,Travel Agency,Online,Cancellation Plan,0,3,CHINA,27.0,0.0,,36
27213,2224,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,66,AUSTRALIA,0.0,23.76,,31
691,53449,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,THAILAND,20.0,0.0,,29
1241,32276,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,SINGAPORE,30.0,0.0,,36
23815,57072,EPX,Travel Agency,Online,Cancellation Plan,0,16,MYANMAR,10.0,0.0,,36
6712,27474,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,15,ROMANIA,118.8,71.28,,33
19759,27319,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,CHINA,25.0,0.0,,36
49461,60022,C2B,Airlines,Online,Bronze Plan,0,402,SINGAPORE,0.0,8.13,M,37
43894,29084,C2B,Airlines,Online,Silver Plan,0,29,SINGAPORE,54.5,13.63,F,33
42381,52840,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,SWITZERLAND,108.9,65.34,,68
15364,23148,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,MALAYSIA,22.0,0.0,,36
30486,56521,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,AUSTRALIA,89.1,53.46,,37
2802,27674,EPX,Travel Agency,Online,Cancellation Plan,0,37,AUSTRALIA,80.0,0.0,,36
43152,2388,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,MALAYSIA,42.0,0.0,,36
24923,47346,RAB,Airlines,Online,Value Plan,0,11,BRUNEI DARUSSALAM,15.0,6.0,,37
34418,34570,JZI,Airlines,Online,Basic Plan,0,55,PHILIPPINES,33.0,11.55,M,29
17330,11196,JZI,Airlines,Online,Value Plan,0,4,INDONESIA,33.0,11.55,M,53
38122,2885,JZI,Airlines,Online,Basic Plan,0,31,THAILAND,22.0,7.7,M,42
22966,15025,EPX,Travel Agency,Online,Cancellation Plan,0,92,INDIA,24.0,0.0,,36
39959,46220,EPX,Travel Agency,Online,Cancellation Plan,0,12,CHINA,40.0,0.0,,36
18036,27695,EPX,Travel Agency,Online,Cancellation Plan,0,94,MAURITIUS,58.0,0.0,,36
46897,11715,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,THAILAND,20.0,0.0,,26
5994,26267,EPX,Travel Agency,Online,Cancellation Plan,0,5,MALAYSIA,27.0,0.0,,36
30287,22626,JZI,Airlines,Online,Value Plan,0,21,"KOREA, REPUBLIC OF",58.0,20.3,M,48
6652,52368,JZI,Airlines,Online,Basic Plan,0,9,PHILIPPINES,18.0,6.3,F,35
10353,44161,EPX,Travel Agency,Online,Cancellation Plan,0,53,INDIA,28.0,0.0,,36
11516,4827,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,74,CHINA,24.0,0.0,,36
17921,45789,EPX,Travel Agency,Online,Cancellation Plan,0,35,INDONESIA,12.0,0.0,,36
16076,39024,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,MALAYSIA,39.6,23.76,,28
4422,18714,EPX,Travel Agency,Online,Cancellation Plan,0,10,HONG KONG,27.0,0.0,,36
45737,29110,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,THAILAND,34.0,0.0,,36
9358,29804,JZI,Airlines,Online,Basic Plan,0,15,CHINA,26.0,9.1,F,44
42440,16244,EPX,Travel Agency,Online,Cancellation Plan,0,8,SINGAPORE,14.0,0.0,,36
38682,4118,EPX,Travel Agency,Online,Cancellation Plan,0,11,SINGAPORE,10.0,0.0,,23
3664,53032,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,MALAYSIA,20.0,0.0,,44
30370,9612,EPX,Travel Agency,Online,Cancellation Plan,0,35,THAILAND,10.0,0.0,,47
3369,38969,C2B,Airlines,Online,Bronze Plan,0,21,SINGAPORE,40.5,10.13,M,25
26742,43066,C2B,Airlines,Online,Silver Plan,0,20,SINGAPORE,62.0,15.5,F,36
45044,13392,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,6,CHINA,23.0,0.0,,36
23420,22334,C2B,Airlines,Online,Bronze Plan,0,22,SINGAPORE,52.65,13.16,F,63
17782,6093,EPX,Travel Agency,Online,Cancellation Plan,0,32,HONG KONG,28.0,0.0,,36
15811,47486,EPX,Travel Agency,Online,Cancellation Plan,0,1,INDIA,25.0,0.0,,36
8495,33986,C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,0.0,10.38,F,37
4789,943,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,153,ITALY,49.5,29.7,,40
30815,49194,C2B,Airlines,Online,Annual Silver Plan,0,408,SINGAPORE,161.0,40.25,F,23
32514,4947,C2B,Airlines,Online,Annual Silver Plan,0,385,SINGAPORE,187.85,46.96,F,33
41253,27443,JZI,Airlines,Online,Basic Plan,0,108,PHILIPPINES,22.0,7.7,F,33
47559,6860,JZI,Airlines,Online,Basic Plan,0,3,HONG KONG,22.0,7.7,F,60
40084,45778,EPX,Travel Agency,Online,Cancellation Plan,0,19,INDONESIA,27.0,0.0,,36
36914,3598,JZI,Airlines,Online,Value Plan,0,21,THAILAND,33.0,11.55,M,30
10986,63310,SSI,Airlines,Online,Ticket Protector,0,69,SINGAPORE,12.87,3.61,,48
26269,57695,JWT,Airlines,Online,Value Plan,0,24,INDIA,75.0,30.0,,118
10319,27760,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,53,SWITZERLAND,108.9,65.34,,38
1839,18823,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,26,UNITED STATES,59.4,35.64,,29
38013,8712,JZI,Airlines,Online,Basic Plan,0,30,PHILIPPINES,18.0,6.3,M,44
11922,47372,JZI,Airlines,Online,Basic Plan,0,91,MYANMAR,33.0,11.55,M,77
12161,42872,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,88,UNITED KINGDOM,112.0,0.0,,38
12172,38711,EPX,Travel Agency,Online,Cancellation Plan,0,12,CHINA,37.0,0.0,,36
12383,39647,JZI,Airlines,Online,Basic Plan,0,109,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,24
17512,52356,SSI,Airlines,Online,Ticket Protector,0,11,SINGAPORE,1.8,0.5,,48
14862,59481,EPX,Travel Agency,Online,Cancellation Plan,0,89,SINGAPORE,10.0,0.0,,43
35111,38458,JZI,Airlines,Online,Basic Plan,0,87,CHINA,40.0,14.0,F,25
20532,51069,EPX,Travel Agency,Online,Cancellation Plan,0,67,MYANMAR,35.0,0.0,,36
7871,28392,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,CHINA,37.0,0.0,,36
334,58447,EPX,Travel Agency,Online,Cancellation Plan,0,42,UNITED STATES,10.0,0.0,,45
22161,9738,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,MALAYSIA,25.0,0.0,,41
30044,18839,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,CHINA,38.0,0.0,,36
2599,61116,EPX,Travel Agency,Online,Cancellation Plan,0,40,PHILIPPINES,10.0,0.0,,35
3091,6532,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,23,NETHERLANDS,20.0,0.0,,36
22417,61219,CCR,Travel Agency,Offline,Comprehensive Plan,0,9,THAILAND,29.0,9.57,F,55
42889,44356,EPX,Travel Agency,Online,Cancellation Plan,0,104,UNITED STATES,80.0,0.0,,51
26722,6564,C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,17.55,4.39,M,44
20492,56784,EPX,Travel Agency,Online,Cancellation Plan,0,36,SINGAPORE,34.0,0.0,,36
11729,53989,C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,27.0,6.75,F,32
46752,44742,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,21.0,5.25,M,29
33074,44256,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,193.2,48.3,F,40
17854,10933,JZI,Airlines,Online,Basic Plan,0,5,VIET NAM,18.0,6.3,M,55
45718,23234,EPX,Travel Agency,Online,Cancellation Plan,0,8,SINGAPORE,10.0,0.0,,36
29885,62668,EPX,Travel Agency,Online,Cancellation Plan,0,5,VIET NAM,10.0,0.0,,21
22447,40705,EPX,Travel Agency,Online,Cancellation Plan,0,90,VIET NAM,10.0,0.0,,36
22995,43910,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,THAILAND,20.0,0.0,,58
39604,17660,EPX,Travel Agency,Online,Cancellation Plan,0,247,KENYA,31.0,0.0,,36
30733,15593,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,SINGAPORE,99.0,0.0,,36
26683,35232,C2B,Airlines,Online,Silver Plan,0,7,SINGAPORE,24.5,6.13,F,38
26469,58405,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,UNITED ARAB EMIRATES,59.4,35.64,,40
30664,44570,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,65,NEW ZEALAND,75.75,49.24,M,29
43325,2702,JZI,Airlines,Online,Basic Plan,0,5,THAILAND,18.0,6.3,M,53
33722,21753,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,AUSTRALIA,49.5,29.7,,27
17181,60506,EPX,Travel Agency,Online,Cancellation Plan,0,4,INDONESIA,23.0,0.0,,44
43262,39312,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,AUSTRALIA,49.5,29.7,,31
28124,20183,EPX,Travel Agency,Online,Cancellation Plan,0,24,THAILAND,10.0,0.0,,43
31329,20330,CBH,Travel Agency,Offline,Comprehensive Plan,0,39,MALAYSIA,29.0,9.57,F,69
30809,32334,SSI,Airlines,Online,Ticket Protector,0,59,SINGAPORE,11.46,3.21,,48
16764,37902,JZI,Airlines,Online,Basic Plan,0,22,CHINA,44.0,15.4,M,31
3866,41102,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,THAILAND,20.0,0.0,,46
19154,11585,EPX,Travel Agency,Online,Cancellation Plan,0,35,INDIA,10.0,0.0,,36
918,29003,EPX,Travel Agency,Online,Cancellation Plan,0,71,SINGAPORE,13.0,0.0,,57
6277,283,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,AUSTRALIA,74.0,0.0,,36
25161,48785,SSI,Airlines,Online,Ticket Protector,0,99,SINGAPORE,1.32,0.37,,48
10657,58721,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,18,MALAYSIA,20.0,0.0,,39
1430,57098,EPX,Travel Agency,Online,Cancellation Plan,0,12,PHILIPPINES,23.0,0.0,,36
46245,38513,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,INDONESIA,29.7,17.82,,29
15660,49163,JZI,Airlines,Online,Basic Plan,0,40,MYANMAR,33.0,11.55,F,28
18427,1681,EPX,Travel Agency,Online,Cancellation Plan,0,26,IRELAND,60.0,0.0,,36
10019,476,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,83,CHINA,28.0,0.0,,36
5790,50507,JZI,Airlines,Online,Value Plan,0,82,UNITED STATES,198.0,69.3,F,60
11387,19413,EPX,Travel Agency,Online,Cancellation Plan,0,112,THAILAND,27.0,0.0,,36
30535,42128,EPX,Travel Agency,Online,Cancellation Plan,0,60,CAMBODIA,12.0,0.0,,36
28094,51998,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,5,MYANMAR,20.0,0.0,,36
21001,38946,SSI,Airlines,Online,Ticket Protector,0,56,SINGAPORE,3.99,1.12,,48
37910,25774,EPX,Travel Agency,Online,Cancellation Plan,0,148,SRI LANKA,44.0,0.0,,36
5690,15229,EPX,Travel Agency,Online,Cancellation Plan,0,15,AUSTRALIA,41.0,0.0,,36
32208,956,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,103,VIET NAM,20.0,0.0,,36
26944,41099,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,JAPAN,82.0,0.0,,36
42941,25675,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,AUSTRALIA,59.4,35.64,,27
30213,19766,EPX,Travel Agency,Online,Cancellation Plan,0,5,CHINA,40.0,0.0,,36
12723,43283,EPX,Travel Agency,Online,Cancellation Plan,0,34,FRANCE,80.0,0.0,,36
19148,14536,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,THAILAND,21.0,0.0,,36
16808,13572,JZI,Airlines,Online,Value Plan,0,11,"KOREA, REPUBLIC OF",69.0,24.15,M,43
30927,5822,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,AUSTRALIA,0.0,11.88,,26
46597,45950,EPX,Travel Agency,Online,Cancellation Plan,0,9,INDONESIA,10.0,0.0,,35
15009,48622,C2B,Airlines,Online,Bronze Plan,0,2,SINGAPORE,17.5,4.38,F,30
